customer_id,account_balance,monthly_withdrawals,crypto_exposure,fx_transactions_mo,income_band,is_active_trader,account_age_months
1,10353.41,0,True,1,Low (<$50k),False,94
2,3994.22,0,True,2,Low (<$50k),False,16
3,12984.78,1,False,4,Low (<$50k),False,48
4,48269.0,0,False,1,High (>$100k),True,27
5,3459.12,0,False,1,Low (<$50k),False,33
6,3459.21,2,True,0,Low (<$50k),True,23
7,52513.17,2,False,1,High (>$100k),True,45
8,15539.68,3,False,3,Medium ($50k-$100k),True,83
9,2430.34,1,False,3,Low (<$50k),False,100
10,11090.45,0,False,2,Low (<$50k),False,83
11,2452.53,0,False,0,High (>$100k),False,22
12,2444.03,7,True,2,Low (<$50k),False,42
13,7065.25,1,True,1,Medium ($50k-$100k),True,109
14,278.68,2,False,3,Medium ($50k-$100k),False,33
15,369.67,0,False,0,Low (<$50k),False,109
16,2114.49,1,True,1,Medium ($50k-$100k),True,10
17,1075.73,0,True,3,Low (<$50k),False,47
18,7874.39,1,False,4,Low (<$50k),False,96
19,1258.86,5,False,0,Medium ($50k-$100k),False,79
20,590.84,6,True,2,Low (<$50k),False,39
21,44288.18,1,True,1,Low (<$50k),True,46
22,3502.86,1,False,1,Medium ($50k-$100k),True,72
23,5438.68,5,False,2,Medium ($50k-$100k),False,51
24,579.91,2,False,1,Low (<$50k),True,25
25,2172.05,0,False,4,Medium ($50k-$100k),False,82
26,5804.47,1,False,3,Low (<$50k),False,15
27,874.38,0,False,3,Medium ($50k-$100k),True,58
28,8634.72,1,False,3,Medium ($50k-$100k),False,59
29,1996.28,1,True,4,High (>$100k),True,26
30,3173.08,1,False,1,Medium ($50k-$100k),True,41
31,1993.09,0,False,3,Low (<$50k),False,44
32,79095.98,0,False,3,Low (<$50k),False,85
33,4816.27,1,True,3,Low (<$50k),False,22
34,1005.69,3,False,4,Medium ($50k-$100k),True,110
35,16878.86,2,False,1,Low (<$50k),True,98
36,787.4,0,True,1,High (>$100k),False,37
37,6723.04,5,False,0,High (>$100k),False,118
38,259.95,4,False,6,Low (<$50k),False,101
39,670.3,0,False,0,Medium ($50k-$100k),False,14
40,6603.08,0,False,1,Medium ($50k-$100k),False,4
41,14878.91,2,False,3,Low (<$50k),True,24
42,6355.35,3,False,1,Medium ($50k-$100k),True,66
43,4132.04,6,True,2,Low (<$50k),True,63
44,3128.61,4,True,1,Low (<$50k),False,65
45,534.97,1,False,1,Medium ($50k-$100k),False,66
46,1669.42,1,False,2,High (>$100k),True,13
47,2462.77,0,False,2,Low (<$50k),True,27
48,23996.98,0,False,2,Medium ($50k-$100k),False,116
49,8229.06,1,True,2,Low (<$50k),False,81
50,349.13,1,False,2,High (>$100k),False,109
51,7991.44,1,True,2,High (>$100k),True,17
52,2758.32,2,False,4,Low (<$50k),False,69
53,1780.44,0,False,1,High (>$100k),False,88
54,12301.97,1,False,1,Low (<$50k),True,57
55,23074.87,0,True,2,Low (<$50k),False,72
56,19869.08,1,True,2,Medium ($50k-$100k),False,118
57,1395.73,2,False,3,Low (<$50k),True,118
58,3090.79,2,False,2,Medium ($50k-$100k),False,108
59,8077.96,9,False,1,Medium ($50k-$100k),False,73
60,21233.12,0,True,3,Low (<$50k),False,18
61,2395.24,1,False,5,Low (<$50k),True,16
62,3720.12,0,False,2,Low (<$50k),False,51
63,934.95,1,True,3,Low (<$50k),True,96
64,817.04,3,False,1,Low (<$50k),True,118
65,16627.09,2,True,4,Low (<$50k),False,40
66,37584.99,4,False,3,Medium ($50k-$100k),False,39
67,4411.57,0,False,2,High (>$100k),True,56
68,22143.5,4,False,3,Low (<$50k),False,117
69,8454.5,0,False,2,Low (<$50k),True,105
70,1867.43,4,False,1,Medium ($50k-$100k),False,54
71,8451.45,0,True,1,High (>$100k),False,44
72,49367.86,0,False,3,Low (<$50k),False,46
73,4657.63,1,False,4,High (>$100k),False,32
74,51378.01,5,False,5,Medium ($50k-$100k),True,106
75,96.58,0,True,3,High (>$100k),False,48
76,16862.61,0,False,2,Low (<$50k),False,61
77,5600.27,3,True,0,High (>$100k),True,66
78,3138.46,1,True,3,Low (<$50k),False,38
